code,name,symbol,length,width_2140,width_1640,length_homestretch,is_openstretch,is_angledwing,latitude,longitude
5,Solvalla,S,1000,20.7,21.7,196,0,0,59.366914,17.939805
6,Åby,Å,1000,22.3,22.3,187,1,0,57.649547,12.002267
7,Jägersro,J,1000,23,23,190,0,1,55.573428,13.064116
8,Axevalla,Ax,1000,21.6,22.5,227,0,0,58.398919,13.566215
9,Bergsåker,B,1000,21.5,21,200,0,0,62.415886,17.226824
11,Boden,Bo,1000,23,22,200,0,0,65.811426,21.707995
12,Bollnäs,Bs,1000,22,22,207,0,0,61.339093,16.33842
13,Dannero,D,1000,20,21,200,0,0,63.022314,17.8028
14,Eskilstuna,E,1000,21,21.6,182,0,0,59.438995,16.613758
15,Färjestad,F,1000,20.4,21.1,177,0,0,59.408642,13.500612
16,Gävle,G,1000,22.6,20.3,178,0,0,60.6903,17.1342
17,Hagmyren,H,1000,21.5,22,161,0,0,61.7767,17.1078
18,Halmstad,Hd,1000,23,23,203,0,0,56.6927,12.9259
19,Kalmar,Kr,1000,25.5,26,207,0,0,56.6669,16.2736
21,Lindesberg,L,1000,20,19.7,192,0,0,59.6001,15.2384
22,Mantorp,Mp,1000,23.4,23.6,177,0,0,58.3597,15.2926
23,Romme,Ro,1000,21,21,205,0,1,60.44972,15.49722
24,Rättvik,Rä,1000,20,20,187,0,1,60.885833,15.118889
25,Skellefteå,Sk,1000,21,21,175,1,0,64.7324,20.9502
26,Solänget,Sä,1004,20,20,193,0,0,63.2907,18.6397
27,Umåker,U,1000,22,22,184,0,0,63.8102,20.1949
28,Visby,Vi,1000,19.1,20.3,156,0,0,57.617,18.327
29,Åmål,Åm,800,20.5,22,105,0,0,59.0306,12.7054
31,Årjäng,År,1000,19,20,205,0,0,59.3906,12.1605
32,Örebro,Ö,1000,21.4,20.8,175,0,0,59.217911,15.155433
33,Östersund,Ös,1000,21.2,20.2,218,0,0,63.1638,14.6713
36,Arvika,Ar,800,19.2,19.2,114,0,0,59.6567,12.6243
37,Hoting,Hg,800,18,17,160,0,0,64.112,16.2031
38,Lycksele,Ly,1000,20,19,200,,,64.5563,18.6937
39,Oviken,Ov,800,,,140,0,0,62.9975,14.396389
43,Vaggeryd,Vg,1000,19.5,19.5,200,0,0,57.5043,14.1399
44,Karlshamn,Kh,800,19,19,157,0,0,56.2355,14.8318
46,Tingsryd,Ti,1609,25,25,218,0,1,56.5099,15.0029
54,Billund,Bi,1200,20,20,250,0,0,59.217911,15.155433
54,Ålborg,Ål,1000,20,20,250,0,0,59.217911,15.155433
54,Nyköbing,Ny,1000,21,21,260,0,0,59.217911,15.155433
54,Skive,Se,950,20,20,260,1,,59.217911,15.155433
54,Århus,Aa,1080,,,300,0,,56.128094,10.195913
54,Bornholm,Bm,580,,,160,0,,55.137158,14.926601
54,Charlottenlund,Ch,950,22,22,200,0,,55.754629,12.586754
54,Odense,Od,1000,19.5,19.5,250,0,,55.375761,10.349379
77,Sörlandet,So,1000,,,200,0,0,58.181171,8.150582
77,Opland-Biri,Op,1000,,,180,0,0,60.957371,10.62868
77,Klosterskogen,Kl,800,21,21,220,1,0,59.190255,9.599744
77,Drammen,Dr,800,,,,1,0,59.755194,10.115248
77,Bergen,Bt,1000,,,,,,60.484915,5.385709
77,Bodö,Bo,1000,,,,,,67.303906,14.52738
77,Orkdal,,1000,,,,,,63.260627,9.802558
77,Kala,,900,,,,,,59.261471,11.179565
77,Leangen,Le,1000,,,270,0,0,63.430295,10.471048
77,Harstad,Ha,970,20,20,154,0,0,68.788415,16.45899
77,Bjerke,Bj,1000,20,20,200,0,0,59.94099,10.810443
80,Momarken,Mo,1000,20,20,240,0,0,59.569212,11.333923
82,Jarlsberg,Ja,1000,20,20,200,0,0,59.278884,10.369489
85,Klosterskogen,Kl,800,21,21,220,1,1,59.190222,9.599809